,id,name,host_id,host_name,neighbourhood,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,Unnamed: 0,host_listings_count
21493,7665413,Private bedroom and bathroom 607,37371505,Joy,Rowland Heights,,33.98890013,-117.9182547,Private room,47,1,2,8/14/2015,0.09,0,21493,1.0
18592,18489581,The Hobbit House,8025232,Music,North Hollywood,,34.17691115,-118.3858872,Private room,47,2,0,,,363,18592,1.0
7533,14086442,Room for Rent in Diamond Bar!!!,84707009,Charlie,Diamond Bar,,33.99744101,-117.8140926,Private room,47,1,2,8/29/2016,0.22,365,7533,1.0
2795,16577739,Spacious living room,21236506,Ashley,Valley Village,,34.16029691,-118.4056195,Shared room,47,1,7,3/27/2017,2.04,361,2795,3.0
14232,15632251,"Large, beautiful, private BR in heart of Los Feliz",9387147,Ann,Los Feliz,,34.10327834,-118.30522009999999,Private room,47,1,10,12/30/2016,1.68,12,14232,4.0
2858,16769092,Make的小屋（地理位置好，交通方便，洛杉矶市中心，提供机场名牌店景点等接送，包车游玩等服务）,96605823,文馨,Boyle Heights,,34.04200554,-118.22186740000001,Private room,47,1,8,4/18/2017,2.5,157,2858,4.0
833,10824676,Huntington Heights Hacker Haus (H4),17372815,Brian,Arcadia,,34.12890234,-118.06543980000001,Private room,47,1,24,4/2/2017,1.57,355,833,2.0
12965,4163437,"Bright clean room, private w lock!",3892327,Kelly,Koreatown,,34.05921033,-118.291894,Private room,47,2,43,4/16/2017,1.37,310,12965,4.0
6073,8501346,Huge HOLLYWOOD Room La Brea/Sunset,44765941,LeRoy,Hollywood,,34.09557088,-118.3471254,Private room,47,1,6,11/22/2015,0.31,8,6073,1.0
15547,18079421,Beautiful Spanish home with private room and bath.,3370651,Lynn,Long Beach,,33.79577378,-118.1992689,Private room,47,2,4,5/1/2017,4.0,139,15547,1.0
15087,17976962,"West LA, Ten minutes from Beachs and Beverly Hills",123475718,Elaine,Mar Vista,,34.01690122,-118.4230527,Private room,47,2,0,,,0,15087,1.0
22049,5641847,Private room+bath private entry,29239197,Tal,Van Nuys,,34.19146329,-118.4402912,Private room,48,2,34,3/21/2017,1.83,64,22049,1.0
18663,17191572,Elegant and cozy room for two,56315030,Jo &,Monterey Park,,34.06856086,-118.1289574,Private room,48,1,5,3/31/2017,2.03,287,18663,1.0
10257,9606305,Jr Studio with Private Bath,1138654,Tammy,Glendora,,34.13637698,-117.87955729999999,Private room,48,1,6,8/19/2016,0.36,352,10257,7.0
12097,9615914,Downtown LA luxury apartment,32031077,Iris,Historic South-Central,,34.0279156,-118.27231540000001,Shared room,48,1,0,,,0,12097,2.0
3827,16977487,COZY High Ceiling MasterBedroom !,110073845,Chris,Culver City,,33.9802979,-118.3865229,Private room,48,1,10,4/2/2017,4.41,42,3827,2.0
21220,8342478,Convenient sunshine living room,20724201,Tiya,Sawtelle,,34.043719,-118.45156270000001,Private room,48,1,5,4/19/2017,0.25,0,21220,1.0
12103,8688941,Urban Studio#14Dowtown LA/USC,23676202,Danny,Historic South-Central,,34.027559000000004,-118.2692991,Private room,48,28,8,1/2/2016,0.43,88,12103,3.0
6171,7971666,Can access everything by walking..,42064352,Lisa,Hollywood,,34.08599853,-118.3148841,Private room,48,2,1,6/11/2016,0.09,88,6171,1.0
3705,13814827,Private room with an awesome pool,63357701,Brianna,Cheviot Hills,,34.0302162,-118.4047041,Private room,48,3,0,,,0,3705,2.0
417,8106479,A small room for 1-2 people.,22265542,Kenny,Harvard Heights,,34.05185138,-118.30657659999999,Private room,48,1,55,4/2/2017,2.72,87,417,1.0
9998,10407748,Save money on your vacation,3709946,Claudia,Glendale,,34.14278912,-118.2656523,Private room,48,1,9,2/10/2017,0.61,361,9998,2.0
20021,7972755,Private room in West Pasadena,38116635,Nazare,Pasadena,,34.13622366,-118.1838003,Private room,48,3,2,8/28/2016,0.11,365,20021,2.0
25786,14009936,Cozy Hideaway with Breakfast,18336433,Linda,Unincorporated Santa Monica Mountains,,34.10618651,-118.7627287,Private room,48,2,32,4/28/2017,3.32,343,25786,4.0
12083,8922461,Urban Studio#70 Downtown LA / USC,23676202,Danny,Historic South-Central,,34.02942265,-118.26927040000001,Private room,48,28,6,1/2/2016,0.33,88,12083,3.0
12637,17515087,Clean/Parking/Private/WiFi/Beach & LAX 15 mins,94690916,Lyla,Hyde Park,,33.98402118,-118.33644220000001,Private room,48,1,18,5/1/2017,10.0,302,12637,3.0
7843,12116136,1930's Super Comfy Art Deco,32904894,Celeste,East Hollywood,,34.0819748,-118.3016111,Private room,48,1,0,,,0,7843,1.0
7723,187057,Nice private room for 2 people,899508,Rosemary,Eagle Rock,,34.13621641,-118.20423419999999,Private room,48,3,164,1/15/2017,2.4,135,7723,3.0
31054,15255790,Cozy Room with Sunset View of the Valley,90659293,Bennie And Bebe,Woodland Hills,,34.15747689,-118.56899320000001,Private room,48,3,1,11/6/2016,0.17,183,31054,4.0
17826,8067138,Airy Room w-Private Bath & Bike near Grove & LACMA,42609466,Kim,Mid-Wilshire,,34.06737005,-118.3518473,Private room,48,2,30,4/18/2017,1.51,292,17826,1.0
24097,3521028,Private Room by Sunset Junction!,457583,Ankiet,Silver Lake,,34.0885293,-118.2835382,Private room,48,1,38,4/11/2016,1.12,0,24097,1.0
12047,2566102,Cabin Hideaway,107382,Jeff,Highland Park,,34.12958023,-118.19200690000001,Entire home/apt,48,3,35,12/17/2016,0.94,5,12047,2.0
18339,12384444,Glamping in a cozy container home!,20582102,Dustin,North Hollywood,,34.18634837,-118.37123559999999,Entire home/apt,48,1,54,4/29/2017,4.74,295,18339,3.0
15428,13619629,Summer 2017 Rental by the beach with free parking,3508413,Justin,Long Beach,,33.7647491,-118.1470477,Private room,48,1,1,7/31/2016,0.11,64,15428,1.0
9285,5014042,Spacious room for short stay,3659692,Chanoma House,El Segundo,,33.92025523,-118.39709280000001,Private room,48,1,74,4/16/2017,2.7,351,9285,6.0
7759,9530425,"Refurbished lovely house, Amazing location DTLA",16440070,Crissy,Eagle Rock,,34.12792496,-118.2030524,Private room,48,2,2,1/16/2016,0.12,304,7759,1.0
15939,18376633,Cedrela garden,127267384,Mayo,Long Beach,,33.77042747,-118.19337320000001,Private room,48,1,0,,,364,15939,1.0
19425,16200703,"Large Room, Excellent Location, Parking",37502194,Khalid,Palms,,34.02145393,-118.40507720000001,Private room,48,1,4,3/13/2017,0.9,76,19425,3.0
9340,3954054,Relax in private room. Unique space,3659692,Chanoma House,El Segundo,,33.92002721,-118.39824469999999,Private room,48,1,91,4/17/2017,3.0,334,9340,6.0
30394,5577875,A cozy bedroom wih a teen room plus more!!!,10182297,Nelly,Winnetka,,34.21466204,-118.5726555,Private room,48,7,3,3/12/2017,0.3,363,30394,5.0
853,11606566,Very convenient Cali king bedroom,7270364,Danny,Arcadia,,34.12091077,-118.0561231,Private room,48,1,13,4/22/2017,0.93,106,853,3.0
1566,14727888,Private Room + Free Wifi,90681093,Shanta,Broadway-Manchester,,33.94428574,-118.2749074,Private room,48,1,6,11/20/2016,0.74,1,1566,1.0
8977,10272034,Cozy studio in prime Echo Park,15811971,Farbod,Echo Park,,34.07384456,-118.25006370000001,Entire home/apt,48,1,28,2/16/2017,1.77,356,8977,5.0
9100,12467028,Tempurpedic dream in Echo Park,9707854,Ana,Echo Park,,34.09340412,-118.25541799999999,Private room,48,3,0,,,0,9100,2.0
19925,13348022,Pasadena Comfortable Room 2 Close to PCC/Caltech,8402388,Cathy,Pasadena,,34.14673054,-118.11769699999999,Private room,48,1,1,9/1/2016,0.12,0,19925,2.0
3222,13208869,Private comfortable room,13869776,Manju,Cerritos,,33.87503476,-118.0707524,Private room,48,1,6,4/14/2017,0.53,358,3222,1.0
17287,1190997,"Centrally Located, Cosy Bedroom",6414941,Haimi,Mid-Wilshire,,34.05773815,-118.3570755,Private room,48,2,16,3/31/2017,0.38,356,17287,2.0
14966,8569066,Clean and spacious apt. on Venice,45094952,Jackson,Mar Vista,,34.00823594,-118.42709620000001,Private room,48,1,1,11/25/2015,0.06,0,14966,2.0
8001,14012340,Cute Private Room in Silverlake Apt,27290452,Aubrey,East Hollywood,,34.07941668,-118.28722340000002,Private room,48,2,1,8/31/2016,0.12,0,8001,1.0
19625,2330139,Near the Heart of Beverly Hills,11901227,Shawna,Pico-Robertson,,34.05604815,-118.3915425,Private room,48,1,65,4/18/2017,1.82,166,19625,1.0
261,18075939,"Freshly remodeled, clean comfy room in Alhambra",108625717,Zachary,Alhambra,,34.09443893,-118.1434887,Private room,48,3,2,4/26/2017,2.0,0,261,1.0
21767,10043502,Luck house,51554460,Tom,San Gabriel,,34.08324518,-118.09791809999999,Private room,48,1,0,,,89,21767,2.0
6084,18463055,PRIVATE ROOM TO RENT IN BEAUTIFUL CONDO NO DEPOSIT,58286290,Alex,Hollywood,,34.098481899999996,-118.34216640000001,Private room,48,1,1,4/29/2017,1.0,0,6084,12.0
10573,17424186,Private Suite with Classic Bed,86451018,Benjamin,Pomona,,34.03883551,-117.78803810000001,Private room,48,2,5,4/19/2017,2.73,350,10573,3.0
18560,14430980,Nice big bedroom (FREE Parking),82589003,Larysa,North Hollywood,,34.19427305,-118.3800128,Private room,48,1,68,4/30/2017,7.7,82,18560,10.0
22069,16943190,NEW Semi-Private Room San Marino,27598231,Lance And Angel,San Marino,,34.111241,-118.12456440000001,Shared room,48,1,1,2/8/2017,0.35,351,22069,47.0
11305,15741005,Full Size Bed Retreat in Living,43955786,Daniel,Hollywood Hills,,34.11818659,-118.34369879999998,Shared room,48,1,2,3/8/2017,0.34,364,11305,12.0
23688,14558230,Beauty in the Oaks,90154344,Alfie,Sherman Oaks,,34.16120361,-118.4142629,Private room,48,3,1,2/5/2017,0.34,332,23688,1.0
2801,18198709,LRG Private Bedroom with 2 Full Size Beds in LA,125607751,E,Valley Village,,34.16662514,-118.4002686,Private room,48,1,0,,,345,2801,4.0
28498,8722853,The Ohm ॐ Room,4954144,Mischa,West Carson,,33.82750125,-118.29803020000001,Private room,48,1,13,8/22/2016,1.07,332,28498,2.0
10592,15471568,Phillips Ranch Room with great view,86451018,Benjamin,Pomona,,34.03750166,-117.7878463,Private room,48,2,21,4/21/2017,3.82,349,10592,3.0
